district,revenue_circle,drainage_basin,latitude,longitude,elevation_m,slope_deg,topographic_wetness_index_twi,soil_type,land_use,rainfall_1day_mm,rainfall_3day_mm,rainfall_7day_mm,distance_to_river_km,distance_to_embankment_m,in_floodplain,flood_label
Sonitpur,Tezpur High Terraces / Dhekiajuli North,Jia Bharali High Bank,26.697537,92.823671,108.6,3.49,7.88,Sandy loam,High Alluvial Orchard,90.2,134.4,311.5,9.06,3550,0,0
Dhubri,Bilasipara / Golakganj / Dhubri Sadar,Brahmaputra & Gangadhar,26.054218,90.167649,37.3,0.36,12.54,Hydromorphic alluvial silt,Riparian Wetland,158.4,309.3,539.4,1.77,201,1,1
Nalbari,Barkhetri / Paschim Nalbari,Pagladiya & Puthimari,26.496122,91.50326,53.4,0.37,13.68,Alluvial silt loam,Paddy Cropland,214.7,327.7,507.7,2.38,338,1,1
Sonitpur,Tezpur High Terraces / Dhekiajuli North,Jia Bharali High Bank,26.757845,92.597719,102.0,5.87,7.73,Piedmont coarse alluvium,Urban Cantonment,71.6,169.3,192.5,7.57,9995,0,0
Barpeta,Sarthebari / Baghbor / Chenga,Beki & Manas,26.285864,91.024626,50.5,0.25,11.97,Fine alluvial silt,Permanent Wetland,241.9,387.2,503.8,0.64,82,1,1
Karbi Anglong,Diphu / Phuloni / Bokajan,Upper Dhansiri Plateau,26.233818,93.583367,182.5,14.6,7.57,Lateritic gravelly clay,Dense Tropical Forest,80.9,158.3,221.7,21.6,8021,0,0
Nalbari,Barkhetri / Paschim Nalbari,Pagladiya & Puthimari,26.283338,91.510124,53.1,0.77,10.72,Alluvial silt loam,Paddy Cropland,224.0,388.8,456.2,0.97,402,1,1
Jorhat,Teok / Titabar / Mariani,Bhogdoi Highland Terrace,26.619161,94.264902,105.3,4.0,7.87,Old alluvial terrace soil,Elevated Homestead,103.9,166.2,216.3,14.02,11854,0,0
Kamrup Metropolitan,Dispur / Chandrapur / Sonapur Hills,Southern Highland Divide,26.169125,91.734555,270.8,20.82,5.92,Ferruginous weathered rock,Highland Residential Built-up,91.9,212.1,240.0,11.18,8351,0,0
Dima Hasao,Haflong / Mahur / Umrangso,Diyung & Kopili Upper Gorge,25.172702,93.001722,667.8,17.44,6.08,Red and yellow forest soil,Hilly Terrain,77.7,157.1,225.0,24.45,16402,0,0
Dima Hasao,Haflong / Mahur / Umrangso,Diyung & Kopili Upper Gorge,25.219699,93.133987,542.0,18.16,6.76,Red and yellow forest soil,Hilly Terrain,114.5,122.4,291.2,12.38,24310,0,0
Dhemaji,Jonai / Dhemaji Sadar,Jiadhal & Subansiri,27.61511,94.7161,92.6,0.95,11.98,Silty clay loam,Riparian Grassland,157.3,352.9,533.2,2.15,364,1,1
Cachar,Silchar Sadar / Katigorah / Sonai,Barak River Basin,24.906709,93.03663,24.2,0.3,13.82,Heavy alluvial clay,Paddy Cropland,202.2,501.2,635.1,1.51,394,1,1
Karbi Anglong,Diphu / Phuloni / Bokajan,Upper Dhansiri Plateau,25.83194,93.318131,203.4,18.34,5.65,Skeletal rocky soil,Rubber / Coffee Plantation,72.1,147.3,259.6,21.16,23904,0,0
Karbi Anglong,Diphu / Phuloni / Bokajan,Upper Dhansiri Plateau,25.816712,93.535815,414.6,23.08,7.16,Red loamy soil,Dense Tropical Forest,74.6,168.4,249.3,9.45,10134,0,0
Karbi Anglong,Diphu / Phuloni / Bokajan,Upper Dhansiri Plateau,26.155644,93.688169,367.3,17.32,5.79,Lateritic gravelly clay,Rubber / Coffee Plantation,88.5,97.6,204.5,14.58,19096,0,0
Nalbari,Barkhetri / Paschim Nalbari,Pagladiya & Puthimari,26.392389,91.516086,49.3,0.35,11.91,Alluvial silt loam,Paddy Cropland,214.3,447.4,592.7,0.54,357,1,1
Karbi Anglong,Diphu / Phuloni / Bokajan,Upper Dhansiri Plateau,26.130214,93.397474,208.8,12.93,4.92,Lateritic gravelly clay,Rubber / Coffee Plantation,54.8,144.0,150.8,15.3,11732,0,0
Jorhat,Teok / Titabar / Mariani,Bhogdoi Highland Terrace,26.651415,94.406391,128.9,3.13,6.3,Deep red acidic loam,Commercial Tea Plantation,51.6,189.1,270.9,12.99,14636,0,0
Baksa,Tamulpur North / Nagrijuli Foothill,Bhutan Piedmont Fan,26.916231,91.611396,146.3,7.68,5.49,Coarse boulder-sand,Tea Estate,94.1,183.7,321.7,15.87,7784,0,0
Morigaon,Mayong / Laharighat / Bhuragaon,Brahmaputra & Kopili,26.230252,92.336771,56.9,0.28,14.77,Clayey alluvium,Wetland / Marshland,195.7,356.5,584.5,0.95,70,1,1
Nalbari,Barkhetri / Paschim Nalbari,Pagladiya & Puthimari,26.326944,91.585629,56.3,0.63,12.73,Alluvial silt loam,Rural Settlement,214.3,329.6,441.9,2.06,688,1,1
Dima Hasao,Haflong / Mahur / Umrangso,Diyung & Kopili Upper Gorge,25.461552,93.147072,725.8,18.97,5.84,Gravelly skeletal clay,Settlement on Ridge,94.1,202.7,265.6,14.54,6828,0,0
Cachar,Silchar Sadar / Katigorah / Sonai,Barak River Basin,24.862352,92.995092,34.9,0.4,14.43,Heavy alluvial clay,Depression Wetland (Beel),200.3,525.4,670.8,1.55,223,1,1
Kamrup Metropolitan,Dispur / Chandrapur / Sonapur Hills,Southern Highland Divide,26.170227,91.710935,156.0,8.25,5.03,Red gravelly loam,Reserved Forest Upland,92.5,211.8,300.9,5.48,5101,0,0
Kamrup Metropolitan,Dispur / Chandrapur / Sonapur Hills,Southern Highland Divide,26.178765,91.837319,234.1,13.13,6.76,Ferruginous weathered rock,Reserved Forest Upland,109.4,151.9,315.5,6.53,14673,0,0
Goalpara,Matia / Balijana High Ridges,Southern Granite Inselberg,26.11608,90.703027,153.2,9.45,4.56,Laterite outcrop,Mixed Scrub and Rocky Outcrop,96.1,161.0,249.5,12.42,5454,0,0
Dhubri,Bilasipara / Golakganj / Dhubri Sadar,Brahmaputra & Gangadhar,26.077104,90.131037,42.7,0.44,15.84,Fine riverine sand,Paddy Cropland,166.0,376.5,471.2,0.93,476,1,1
Nagaon,Kampur / Kaliabor / Samaguri,Kopili & Kolong,26.116337,92.907068,63.1,0.44,14.26,Alluvial clay loam,Lowland Marsh,173.7,330.2,435.0,1.57,131,1,1
Morigaon,Mayong / Laharighat / Bhuragaon,Brahmaputra & Kopili,26.355038,92.136565,61.4,0.48,13.66,Clayey alluvium,Wetland / Marshland,190.8,355.2,517.6,0.44,165,1,1
Nalbari,Barkhetri / Paschim Nalbari,Pagladiya & Puthimari,26.503124,91.509063,46.5,0.8,11.71,Alluvial silt loam,Wetland,227.5,365.5,447.8,1.0,584,1,1
Sonitpur,Tezpur High Terraces / Dhekiajuli North,Jia Bharali High Bank,26.769013,92.490083,121.5,4.03,6.74,Piedmont coarse alluvium,Tea Plantation,112.6,180.2,270.6,8.78,7392,0,0
Dhubri,Bilasipara / Golakganj / Dhubri Sadar,Brahmaputra & Gangadhar,26.077038,89.864947,38.5,0.56,16.01,Hydromorphic alluvial silt,Paddy Cropland,155.9,354.3,496.7,0.46,453,1,1
Golaghat,Bokakhat / Kaziranga Northern Fringe,Dhansiri & Brahmaputra,26.578626,93.583344,70.4,0.76,13.75,Marshy organic loam,National Park Grassland,160.9,326.5,452.7,1.42,238,1,1
Barpeta,Sarthebari / Baghbor / Chenga,Beki & Manas,26.316892,90.89928,47.8,0.6,14.4,Clayey hydromorphic loam,Permanent Wetland,160.6,422.7,482.0,1.05,180,1,1
Sonitpur,Tezpur High Terraces / Dhekiajuli North,Jia Bharali High Bank,26.729665,92.493579,97.4,3.22,7.28,Piedmont coarse alluvium,Tea Plantation,73.5,233.6,273.1,4.92,7435,0,0
Tinsukia,Digboi / Margherita / Ledo,Dehing Foothill Basin,27.290857,95.793787,178.7,9.21,6.11,Laterite,Highland Industrial / Township,83.8,192.5,227.5,9.75,16489,0,0
Goalpara,Matia / Balijana High Ridges,Southern Granite Inselberg,26.076329,90.588611,184.7,6.68,5.33,Laterite outcrop,High Settlement,68.5,182.7,223.7,13.65,3791,0,0
Morigaon,Mayong / Laharighat / Bhuragaon,Brahmaputra & Kopili,26.181355,92.183166,61.2,0.22,15.46,Riverine silt,Wetland / Marshland,184.2,380.2,487.3,1.63,224,1,1
Nalbari,Barkhetri / Paschim Nalbari,Pagladiya & Puthimari,26.543482,91.519706,51.2,0.68,12.44,Clayey loam,Paddy Cropland,167.9,392.5,468.1,1.01,500,1,1
Lakhimpur,Kadam / Narayanpur / Bihpuria,Ranganadi & Dikrong,27.250973,93.895067,86.7,0.8,11.64,Riverine silt loam,Rural Homestead,172.5,388.8,514.6,0.87,673,1,1
Jorhat,Teok / Titabar / Mariani,Bhogdoi Highland Terrace,26.619577,94.205356,114.1,4.16,6.99,Deep red acidic loam,Agroforestry,89.8,135.4,225.1,16.85,8914,0,0
Goalpara,Matia / Balijana High Ridges,Southern Granite Inselberg,26.134546,90.472177,158.1,16.93,7.28,Laterite outcrop,Rubber Plantation,82.0,194.8,268.8,12.35,7469,0,0
Kamrup Metropolitan,Dispur / Chandrapur / Sonapur Hills,Southern Highland Divide,26.127388,91.808455,139.5,17.84,5.41,Red gravelly loam,Reserved Forest Upland,89.3,198.8,314.1,12.01,7816,0,0
Dhemaji,Jonai / Dhemaji Sadar,Jiadhal & Subansiri,27.5348,95.201224,101.0,0.85,11.3,Silty clay loam,Riparian Grassland,177.0,325.1,567.3,1.58,181,1,1
Karbi Anglong,Diphu / Phuloni / Bokajan,Upper Dhansiri Plateau,26.028156,93.478243,399.8,8.24,6.53,Lateritic gravelly clay,Mixed Deciduous Forest,86.7,129.5,189.9,22.92,9151,0,0
Dima Hasao,Haflong / Mahur / Umrangso,Diyung & Kopili Upper Gorge,25.135149,92.881893,824.2,21.01,6.19,Red and yellow forest soil,Sub-Tropical Montane Forest,100.0,190.9,194.9,34.54,26918,0,0
Jorhat,Teok / Titabar / Mariani,Bhogdoi Highland Terrace,26.591097,94.320421,115.3,3.76,6.93,Deep red acidic loam,Agroforestry,67.3,206.9,229.9,15.07,11062,0,0
Golaghat,Bokakhat / Kaziranga Northern Fringe,Dhansiri & Brahmaputra,26.599858,93.567686,72.4,0.66,14.33,Marshy organic loam,Wetland,185.0,403.5,548.1,1.17,170,1,1
Barpeta,Sarthebari / Baghbor / Chenga,Beki & Manas,26.178279,90.997446,49.8,0.63,11.89,Fine alluvial silt,Permanent Wetland,226.6,363.1,546.2,0.78,86,1,1
Karbi Anglong,Diphu / Phuloni / Bokajan,Upper Dhansiri Plateau,25.956928,93.70271,220.1,22.64,6.39,Red loamy soil,Dense Tropical Forest,62.7,170.6,224.4,22.77,15300,0,0
Kamrup Metropolitan,Dispur / Chandrapur / Sonapur Hills,Southern Highland Divide,26.0884,91.860614,214.7,9.6,5.09,Ferruginous weathered rock,Rocky Outcrop / Hill Scrub,93.2,213.0,309.5,10.27,11657,0,0
Baksa,Tamulpur North / Nagrijuli Foothill,Bhutan Piedmont Fan,26.876654,91.482633,152.8,3.21,7.48,Coarse boulder-sand,Deciduous Forest,119.6,229.5,243.8,6.75,8183,0,0
Kamrup Metropolitan,Dispur / Chandrapur / Sonapur Hills,Southern Highland Divide,26.139695,91.813756,221.4,13.04,7.18,Red gravelly loam,Highland Residential Built-up,96.2,167.8,192.7,14.01,12279,0,0
Lakhimpur,Kadam / Narayanpur / Bihpuria,Ranganadi & Dikrong,27.074708,93.93675,84.4,0.81,11.16,Clayey loam,Alluvial Lowland,190.4,368.8,457.3,2.33,486,1,1
Kamrup Metropolitan,Dispur / Chandrapur / Sonapur Hills,Southern Highland Divide,26.085143,91.735417,256.3,10.23,5.0,Red gravelly loam,Highland Residential Built-up,76.6,202.9,244.9,10.82,6497,0,0
Kamrup Metropolitan,Dispur / Chandrapur / Sonapur Hills,Southern Highland Divide,26.19392,91.737429,145.1,18.15,7.27,Ferruginous weathered rock,Rocky Outcrop / Hill Scrub,103.4,174.4,273.8,4.65,4779,0,0
Cachar,Silchar Sadar / Katigorah / Sonai,Barak River Basin,24.808417,92.925705,32.6,0.17,14.77,Hydromorphic depression silt,Depression Wetland (Beel),222.1,497.5,730.9,0.28,249,1,1
Morigaon,Mayong / Laharighat / Bhuragaon,Brahmaputra & Kopili,26.38056,92.05279,59.9,0.64,14.56,Organic silty clay,Rural Floodplain Settlement,204.8,321.5,503.5,0.86,98,1,1
Sonitpur,Tezpur High Terraces / Dhekiajuli North,Jia Bharali High Bank,26.699578,92.619631,109.7,6.88,8.24,Piedmont coarse alluvium,High Alluvial Orchard,71.6,212.2,191.5,8.86,8786,0,0
Morigaon,Mayong / Laharighat / Bhuragaon,Brahmaputra & Kopili,26.319275,92.260327,55.7,0.3,11.58,Riverine silt,Paddy Cropland,178.0,421.9,454.1,1.99,238,1,1
Cachar,Silchar Sadar / Katigorah / Sonai,Barak River Basin,24.856334,92.98447,31.7,0.47,13.7,Heavy alluvial clay,Urban Built-up / Commercial,239.6,405.8,696.5,1.16,61,1,1
Dhemaji,Jonai / Dhemaji Sadar,Jiadhal & Subansiri,27.790135,94.48884,102.4,0.91,13.02,Recent riverine alluvium,Low-lying Rural Settlement,163.5,310.6,410.6,1.64,481,1,1
Nalbari,Barkhetri / Paschim Nalbari,Pagladiya & Puthimari,26.356223,91.553454,49.9,0.63,10.24,Alluvial silt loam,Rural Settlement,209.2,344.0,498.9,2.34,698,1,1
Sonitpur,Tezpur High Terraces / Dhekiajuli North,Jia Bharali High Bank,26.665832,92.487539,103.3,2.97,7.26,Piedmont coarse alluvium,Tea Plantation,101.4,227.2,238.3,4.16,5119,0,0
Dima Hasao,Haflong / Mahur / Umrangso,Diyung & Kopili Upper Gorge,25.144129,93.105991,423.7,17.67,5.97,Red and yellow forest soil,Settlement on Ridge,73.5,209.0,186.1,34.91,22956,0,0
Cachar,Silchar Sadar / Katigorah / Sonai,Barak River Basin,24.935761,92.894215,24.4,0.21,14.6,Heavy alluvial clay,Depression Wetland (Beel),224.0,484.8,562.2,1.58,440,1,1
Morigaon,Mayong / Laharighat / Bhuragaon,Brahmaputra & Kopili,26.344436,92.432917,50.6,0.57,11.97,Organic silty clay,Wetland / Marshland,205.4,376.5,526.5,1.62,580,1,1
Jorhat,Teok / Titabar / Mariani,Bhogdoi Highland Terrace,26.780081,94.246101,129.6,1.83,8.32,Deep red acidic loam,Elevated Homestead,84.2,195.4,196.8,17.43,13698,0,0
Dhemaji,Jonai / Dhemaji Sadar,Jiadhal & Subansiri,27.583369,94.756414,94.9,0.54,10.7,Recent riverine alluvium,Paddy Cropland,146.3,328.1,516.9,1.97,266,1,1
Nalbari,Barkhetri / Paschim Nalbari,Pagladiya & Puthimari,26.427702,91.569437,47.1,0.66,13.02,Clayey loam,Wetland,184.5,401.5,537.2,1.27,94,1,1
Sonitpur,Tezpur High Terraces / Dhekiajuli North,Jia Bharali High Bank,26.765136,92.782692,86.5,6.67,6.47,Piedmont coarse alluvium,Urban Cantonment,82.5,219.2,301.5,6.28,10696,0,0
Karbi Anglong,Diphu / Phuloni / Bokajan,Upper Dhansiri Plateau,26.014162,93.687181,390.2,21.79,6.8,Lateritic gravelly clay,Hilly Homestead,85.5,171.0,213.2,9.23,12482,0,0
Majuli,Kamalabari / Garmur,Brahmaputra Mainstem,27.058394,94.34523,81.1,0.59,14.38,Active alluvial deposits,Riparian Grassland,181.1,347.2,390.3,0.94,375,1,1
Jorhat,Teok / Titabar / Mariani,Bhogdoi Highland Terrace,26.743048,94.416858,133.5,3.5,6.81,Old alluvial terrace soil,Commercial Tea Plantation,75.8,128.6,199.4,9.19,9831,0,0
Tinsukia,Digboi / Margherita / Ledo,Dehing Foothill Basin,27.41451,95.575226,179.4,9.58,5.54,Laterite,Tea Estate,125.2,166.9,328.2,17.11,14988,0,0
Goalpara,Matia / Balijana High Ridges,Southern Granite Inselberg,26.124174,90.699974,193.2,8.94,4.79,Gravelly red loam,Mixed Scrub and Rocky Outcrop,72.8,216.5,291.5,10.8,8547,0,0
Dima Hasao,Haflong / Mahur / Umrangso,Diyung & Kopili Upper Gorge,25.1176,93.179094,477.3,13.7,5.98,Gravelly skeletal clay,Hilly Terrain,68.8,114.1,236.6,17.08,16827,0,0
Cachar,Silchar Sadar / Katigorah / Sonai,Barak River Basin,24.881013,93.011847,30.3,0.41,16.71,Hydromorphic depression silt,Paddy Cropland,222.4,513.7,698.7,0.25,117,1,1
Dhemaji,Jonai / Dhemaji Sadar,Jiadhal & Subansiri,27.736926,94.631717,96.6,1.15,14.83,Silty clay loam,Low-lying Rural Settlement,207.8,383.6,461.1,0.82,295,1,1
Goalpara,Matia / Balijana High Ridges,Southern Granite Inselberg,26.123615,90.688216,94.4,6.7,7.44,Laterite outcrop,High Settlement,105.9,129.1,265.1,15.94,9974,0,0
Baksa,Tamulpur North / Nagrijuli Foothill,Bhutan Piedmont Fan,26.747224,91.725257,95.0,4.51,6.43,Coarse boulder-sand,Deciduous Forest,73.8,195.1,240.1,15.78,13175,0,0
Sonitpur,Tezpur High Terraces / Dhekiajuli North,Jia Bharali High Bank,26.812756,92.659362,118.6,6.3,5.39,Sandy loam,High Alluvial Orchard,80.2,167.2,211.1,7.54,9218,0,0
Cachar,Silchar Sadar / Katigorah / Sonai,Barak River Basin,24.855923,92.963726,28.8,0.57,14.81,Heavy alluvial clay,Dense Settlement,257.6,511.0,704.1,0.32,276,1,1
Karbi Anglong,Diphu / Phuloni / Bokajan,Upper Dhansiri Plateau,26.29618,93.671706,296.5,22.42,5.61,Lateritic gravelly clay,Hilly Homestead,91.5,158.1,175.7,24.91,7364,0,0
Nalbari,Barkhetri / Paschim Nalbari,Pagladiya & Puthimari,26.29608,91.344314,54.5,0.38,10.71,Clayey loam,Paddy Cropland,206.4,402.7,533.8,1.07,266,1,1
Nalbari,Barkhetri / Paschim Nalbari,Pagladiya & Puthimari,26.457353,91.379958,55.8,0.85,10.46,Alluvial silt loam,Wetland,178.4,427.5,575.2,0.75,439,1,1
Morigaon,Mayong / Laharighat / Bhuragaon,Brahmaputra & Kopili,26.337103,92.178104,54.1,0.61,14.92,Organic silty clay,Paddy Cropland,202.3,350.9,502.4,0.47,412,1,1
Kamrup Metropolitan,Dispur / Chandrapur / Sonapur Hills,Southern Highland Divide,26.142408,91.724659,270.4,16.29,5.62,Ferruginous weathered rock,Reserved Forest Upland,62.6,149.2,261.6,7.4,13586,0,0
Nalbari,Barkhetri / Paschim Nalbari,Pagladiya & Puthimari,26.280693,91.557607,46.1,0.33,11.87,Alluvial silt loam,Paddy Cropland,194.2,438.0,558.5,1.24,265,1,1
Goalpara,Matia / Balijana High Ridges,Southern Granite Inselberg,26.169762,90.602386,132.7,15.2,7.43,Laterite outcrop,Mixed Scrub and Rocky Outcrop,97.7,155.8,195.6,16.73,10559,0,0
Baksa,Tamulpur North / Nagrijuli Foothill,Bhutan Piedmont Fan,26.795004,91.390576,136.6,4.66,5.82,Coarse boulder-sand,Deciduous Forest,78.7,232.5,265.4,15.19,8965,0,0
Majuli,Kamalabari / Garmur,Brahmaputra Mainstem,27.066844,94.170888,81.1,0.38,14.9,Active alluvial deposits,Riparian Grassland,156.1,269.2,397.9,0.61,162,1,1
Jorhat,Teok / Titabar / Mariani,Bhogdoi Highland Terrace,26.649645,94.30778,112.7,4.61,7.65,Old alluvial terrace soil,Commercial Tea Plantation,52.4,195.9,218.1,17.21,16922,0,0
Cachar,Silchar Sadar / Katigorah / Sonai,Barak River Basin,24.920992,92.774143,27.6,0.56,12.67,Heavy alluvial clay,Dense Settlement,228.2,511.3,634.9,0.16,420,1,1
Dima Hasao,Haflong / Mahur / Umrangso,Diyung & Kopili Upper Gorge,25.373344,92.9049,649.8,25.19,3.54,Gravelly skeletal clay,Hilly Terrain,107.8,171.9,214.2,33.31,24790,0,0
Sonitpur,Tezpur High Terraces / Dhekiajuli North,Jia Bharali High Bank,26.727467,92.579196,107.6,5.79,8.17,Sandy loam,Urban Cantonment,100.9,225.6,191.1,8.64,6681,0,0
Barpeta,Sarthebari / Baghbor / Chenga,Beki & Manas,26.22294,90.899648,46.1,0.61,14.75,Fine alluvial silt,Dense Rural Settlement,201.0,384.3,636.5,0.34,463,1,1
Golaghat,Bokakhat / Kaziranga Northern Fringe,Dhansiri & Brahmaputra,26.602157,93.320743,65.3,0.45,11.29,Alluvial silt loam,National Park Grassland,204.0,306.7,535.2,0.61,309,1,1
Baksa,Tamulpur North / Nagrijuli Foothill,Bhutan Piedmont Fan,26.80879,91.647577,143.1,5.28,6.07,Coarse boulder-sand,Deciduous Forest,120.1,214.9,237.5,17.62,10080,0,0
Golaghat,Bokakhat / Kaziranga Northern Fringe,Dhansiri & Brahmaputra,26.587388,93.307141,69.2,0.31,12.39,Marshy organic loam,Wetland,195.6,293.0,501.3,0.87,411,1,1
Nalbari,Barkhetri / Paschim Nalbari,Pagladiya & Puthimari,26.372845,91.423267,50.6,0.59,13.0,Alluvial silt loam,Paddy Cropland,182.2,396.6,548.9,1.2,313,1,1
Jorhat,Teok / Titabar / Mariani,Bhogdoi Highland Terrace,26.783497,94.288093,121.7,2.8,7.52,Deep red acidic loam,Elevated Homestead,79.6,174.1,279.3,17.04,17190,0,0
Goalpara,Matia / Balijana High Ridges,Southern Granite Inselberg,26.135463,90.734205,166.4,14.56,5.72,Gravelly red loam,Rubber Plantation,94.7,151.0,270.6,8.66,6174,0,0
Dima Hasao,Haflong / Mahur / Umrangso,Diyung & Kopili Upper Gorge,25.427707,92.82942,422.2,30.48,6.12,Red and yellow forest soil,Settlement on Ridge,96.7,141.8,225.8,25.18,28104,0,0
Barpeta,Sarthebari / Baghbor / Chenga,Beki & Manas,26.379547,91.076844,51.9,0.45,12.12,Fine alluvial silt,Char Land,167.6,460.9,497.5,0.79,192,1,1
Sonitpur,Tezpur High Terraces / Dhekiajuli North,Jia Bharali High Bank,26.637772,92.542029,105.0,2.72,6.2,Piedmont coarse alluvium,High Alluvial Orchard,102.5,176.8,229.9,8.25,12034,0,0
Dhemaji,Jonai / Dhemaji Sadar,Jiadhal & Subansiri,27.520372,94.683707,103.8,0.83,14.28,Alluvial sandy silt,Wetland / Beel,183.6,374.2,564.4,1.85,92,1,1
Baksa,Tamulpur North / Nagrijuli Foothill,Bhutan Piedmont Fan,26.821747,91.727959,96.0,5.28,5.99,Bhabar gravelly loam,Tea Estate,131.5,242.0,280.8,16.1,7608,0,0
Dima Hasao,Haflong / Mahur / Umrangso,Diyung & Kopili Upper Gorge,25.279277,93.198993,643.0,26.68,5.98,Red and yellow forest soil,Sub-Tropical Montane Forest,103.9,136.9,197.2,28.2,22776,0,0
Jorhat,Teok / Titabar / Mariani,Bhogdoi Highland Terrace,26.662572,94.296187,124.8,1.8,6.33,Deep red acidic loam,Elevated Homestead,107.2,181.3,187.1,15.66,10616,0,0
Karbi Anglong,Diphu / Phuloni / Bokajan,Upper Dhansiri Plateau,26.176465,93.296093,437.8,15.31,7.1,Lateritic gravelly clay,Rubber / Coffee Plantation,74.0,100.9,166.9,11.67,11146,0,0
Baksa,Tamulpur North / Nagrijuli Foothill,Bhutan Piedmont Fan,26.750355,91.410168,114.4,4.2,4.89,Bhabar gravelly loam,Tea Estate,106.2,239.9,316.5,7.26,13238,0,0
Karbi Anglong,Diphu / Phuloni / Bokajan,Upper Dhansiri Plateau,25.973802,93.225672,443.3,11.18,4.74,Skeletal rocky soil,Dense Tropical Forest,91.0,129.4,194.9,24.52,6329,0,0
